Folio;Organización de Usuarios (OUA);Nombre del Proyecto;Región;Comuna;Monto Solicitado;Activos a Adquirir;Población Beneficiada;Impacto Esperado;Fuente
153439;Asociación de Canalistas Canal Camarico;Distribución y vigilancia con uso de motocicletas;Región de Coquimbo;Ovalle;$4.370.402;2 motocicletas Honda XR150L;413 usuarios;Aumentar frecuencia de visitas a compuertas y vigilar infraestructura.;2
150021;Asociación Canal Agustin Cerda;Mejorar vigilancia mediante el empleo de un dron;Región del Maule;Teno;$5.566.636;Dron DJI Matrice 4E y curso de piloto;394 usuarios;Control eficaz en tiempo real y detección de extracciones ilegales.;2
149708;Asociación Canal Cumpeo;Adquisición de herramientas de limpieza;Región del Maule;Molina;$5.373.000;Desmalezadoras, podadores, motosierras y pulverizadoras;371 asociados;Mejorar rendimiento en eliminación de vegetación para asegurar llegada de agua.;2
153203;Comunidad de Aguas Canal Pullally o Illalolén;Adquisición de equipamiento para gestión hídrica;Región de Valparaíso;Papudo;$5.399.595;Dron DJI Mavic 4 Pro, notebook y almacenamiento;332 socios;Monitoreo aéreo para detectar filtraciones y determinar superficies regadas.;2
153204;Comunidad Agrícola de Monte Patria;Adquisición de un generador dual;Región de Coquimbo;Monte Patria;$4.990.000;Generador Krafter KRD23000EA-M;325 comuneros;Disponer de energía para reuniones en recinto comunitario aislado.;2
152759;Asociación de Canalistas del Canal de Mauco;Mejoras y avances tecnológicos;Región de Valparaíso;Quillota;$4.575.910;Equipos computacionales y Dron DJI Air 3S;Aprox. 320 regantes;Detección de usurpación de agua en 85 km de canal.;2
152436;JV de la cuenca del Río Huasco;Adquisición de molinete hidrométrico;Región de Atacama;Alto del Carmen;$6.000.000;Molinete electromagnético Valeport 801 EM;315 usuarios;Validar entregas de agua en terreno y detectar desviaciones.;2
153675;Asociación de Canalistas Sociedad Canal San Pedro;Renovación de equipo oficina y bodega;Región de Valparaíso;Quillota;$3.612.450;Container modular, motosierra, notebook e impresora;300 regantes;Habilitar resguardo para herramientas y renovar equipos de oficina.;2
149313;Asociación de Canalistas del Canal Colin;Adquisición de equipo de aforo;Región del Maule;Maule;$2.534.070;Sonda de velocidad de flujo digital Global Water FP211;293 regantes;Controlar caudales ante extracciones ilegales y filtraciones.;2
153754;Comunidad de Aguas Canal Guzmanes;Container bodega para herramientas y reunión;Región de Valparaíso;Putaendo;$5.913.275;Contenedor marítimo, materiales de construcción y motosierra;290 usuarios;Crear espacio de atención y resguardar herramientas.;2
146771;CA Tapia Vasquez;Supervisión de compuertas con equipo aforador;Región del Maule;Longaví;$5.383.101;Molinete aforador Gurley 625 DF2N;250 regantes;Entrega equitativa según derechos y ahorro en servicios externos.;2
153504;Asociación Canal Greene y Maira;Implementación Equipo Oficina;Región de Ñuble;San Carlos;$1.130.259;Computador All in One, impresora, escritorio y silla;248 usuarios;Mejorar ergonomía administrativa y rapidez en entrega de certificados.;2
153647;Comunidad de aguas Canal El Pueblo;Mejorando la gestión de los canales;Región de Valparaíso;Putaendo;$2.141.414;Generador, motosierra, motobomba y betonera;240 comuneros;Abordar emergencias por basura en área urbana para evitar desbordes.;2
152459;Comunidad de Aguas Canal San Vicente;Infraestructura y limpieza de cauce;Región del Libertador General Bernardo O'Higgins;San Vicente;$5.970.083;Contenedor bodega, herramientas de limpieza y equipos computacionales;239 usuarios;Dotar de infraestructura para almacenamiento y modernizar gestión.;2
148661;CA Canal Flor del Llano;Adquisición de equipo de aforo;Región del Maule;San Clemente;$6.000.000;Molinete magnético inductivo OTT MF Pro;237 regantes;Obtener datos exactos de caudal para asegurar distribución equitativa.;2
149342;Comunidad de Aguas Canal Silva Henríquez;Adquisición de equipo de aforo;Región del Maule;San Clemente;$2.534.070;Sonda de velocidad de flujo digital Global Water FP211;236 regantes;Medir y gestionar recursos hídricos evitando conflictos.;2
153331;Asociación de Canalistas del Canal Purutun;Material Rodante e Insumos;Región de Valparaíso;Nogales;$5.730.000;2 Motos Honda CB125F y 3 desmalezadoras;255 usuarios;Renovar vigilancia en 70 km de canal y asegurar limpieza.;2
152986;Comunidad de Aguas Canal Diaguitas San Isidro;Adquisición de activos (transporte);Región de Coquimbo;Vicuña;$4.000.000;Bicicleta eléctrica de montaña Rockrider;234 regantes;Atención oportuna de 97 compuertas en un trazado de 15,3 km.;2
151140;Asociación de Canalistas Canal Bio Bio Norte;Implementación de cámaras de vigilancia;Región del Biobío;Los Angeles;$5.736.565;"9 cámaras inalámbricas solares y Smart TV 85""";233 regantes;Visualización en tiempo real y reacción ante manipulación de marcos.;2
152742;Junta de Vigilancia Estero Puangue 2da Sección;Habilitación con baños y equipos computacionales;Región Metropolitana;María Pinto;$5.673.160;Baño modular doble y equipos de oficina;214 usuarios;Mejorar habitabilidad de la sede y centralizar información administrativa.;2
153348;Comunidad de Aguas Canal Rinconada Chica;Compra de herramientas para mantención y limpieza;Región de Valparaíso;Putaendo;$4.640.000;Motosierra, podador, cortasetos y chipeadora;161 comuneros;Mantener canales internos libres de vegetación para favorecer flujo.;2
152386;Comunidad de Aguas Canal Chufquén;Gestión Eficiente del Agua: Molinete Hidrométrico;Región de La Araucanía;Galvarino;$6.000.000;Molinete Universal OTT Hydromet C31;Más de 160 usuarios;Mediciones precisas de caudal frente a la escasez hídrica.;2
153717;Comunidad de Aguas Canal Bellavista;Proyecto de limpieza y mantención;Región de Valparaíso;Putaendo;$6.000.000;Desmalezadoras, podadores, chipeadora y motosierra;152 comuneros;Impedir robos de agua y prevenir incendios mediante limpieza.;2
153404;Comunidad de aguas Canal Lobo de Piguchén;Mejorando la gestión en atención a comuneros;Región de Valparaíso;Putaendo;$6.000.000;Oficina modular, generador, mobiliario y herramientas;150 comuneros;Habilitar oficina propia y disponer de herramientas para reparaciones.;2
152927;Comunidad de Aguas Canal Cunaco;Equipamiento Canal Cunaco;Región del Libertador General Bernardo O'Higgins;Nancagua;$2.835.807;2 desbrozadoras Stihl y Dron DJI Air 3S;142 regantes;Vigilancia de 19 km para evitar robo de agua y mejorar limpieza.;2
144236;CA Canal Parcelas El Diamante;Fortalecimiento en gestión y vigilancia hídrica;Región Metropolitana;Buin;$4.890.550;Triciclo eléctrico y medidor de flujo digital;130 accionistas;Optimizar gestión mediante electromovilidad y medición digital.;2
153188;Comunidad Indigena Atacameña de Checar;Sistema Integral de Gestión Hídrica;Región de Antofagasta;San Pedro de Atacama;$4.978.767;Estación de trabajo, servidor NAS y tablets;127 personas;Digitalizar padrón y asignación de turnos de riego.;2
152455;Junta de Vigilancia Río Renaico;Adquisición de equipos para medición de caudal;Región de La Araucanía;Collipulli;$5.885.740;Medidor ultrasónico, detector de espesor y molinete;119 accionistas;Medición precisa en canales y bombas de extracción directa.;2
153440;Comunidad de Aguas Canal Penca o Grande;Herramientas para limpieza de canal;Región de Coquimbo;Vicuña;$4.004.000;Cortasetos, motosierra, desmalezadora y motobomba;113 accionistas;Mejorar estándar de limpieza en 8 km de canal.;2
153125;Comunidad de Aguas canal Rincón de Peralillo;Adquisición de activos (transporte);Región de Coquimbo;Vicuña;$4.000.000;Bicicleta eléctrica de montaña Rockrider;106 regantes;Fortalecer supervisión en terreno reduciendo pérdidas.;2
152519;Asociación del Canal San Miguel;Equipamiento Canal San Miguel;Región de Valparaíso;San Esteban;$4.530.000;Molinete de aforo y pasarelas de fierro;1.042 socios;Identificar ramales con pérdidas y mejorar distribución.;2
149845;Asociación del Canal Pelarco y Buena Unión;Adquisición radios comunicación;Región del Maule;Molina;$2.975.000;6 Radios POC (Push to talk over celular);101 asociados;Comunicación instantánea en zonas sin red móvil tradicional.;2
153634;Asociación de Canalistas Canal Jorge Errázuriz;Mejora de capacidad de gestión;Región del Libertador General Bernardo O'Higgins;Rengo;$5.886.494;Motocicleta, motobomba, herramientas y equipamiento de oficina;100 usuarios;Limpiar tuberías urbanas y digitalizar archivos históricos.;2
152969;Comunidad de Aguas Canal La Ligua;Mejorando el canal de regadío;Región de Coquimbo;Combarbalá;$5.038.803;Mangas de riego, herramientas y motobomba;91 asociados;Encauzar agua mediante mangas ante desvíos del cauce del río.;2
153356;Comunidad de aguas canal Salto o Caracol;Mantención eficiente canal caracol;Región del Biobío;Los Angeles;$1.292.764;Motosierra, motobomba y desbrozadora;90 comuneros;Mecanizar limpieza de sifones para asegurar conducción óptima.;2
152780;Comunidad Indígena Aymara Usmagama;Implementación módulo container y equipamiento;Región de Tarapacá;Huara;$5.698.229;Módulo container y equipos de oficina;89 socios/as;Contar con espacio seguro para resguardar actas y herramientas.;2
153316;Comunidad de Aguas Canal Palquibudis;Equipamiento Comunidad Canal Palquibudis;Región del Maule;Rauco;$3.714.711;Notebook, impresora y herramientas de limpieza;84 regantes;Modernizar control documental y optimizar limpieza de infraestructura.;2
145252;Asoc Parceleros Sta Teresa Llayllay;Moto Celador;Región de Valparaíso;Llayllay;$4.449.000;Motocicleta todo terreno;82 familias;Mejorar eficiencia del celador en un 50% y evitar pérdidas.;2
153710;Comunidad de Aguas Canal Curimón;Equipamiento básico principal;Región de Valparaíso;San Felipe;$5.031.782;Container, equipos de oficina y desbrozadora;79 regantes;Centralizar documentación y habilitar espacio de atención.;2
153746;Comunidad Indigena Pelon Mapu;Habilitación de sede modular y equipamiento;Región de La Araucanía;Victoria;$4.689.059;Oficina modular, notebook e impresora;79 personas;Resolver riesgo de pérdida documental al sesionar en sede física.;2
152122;Comunidad de Aguas Casas de Peuco;Mejorando herramientas para Canal Peuco;Región del Libertador General Bernardo O'Higgins;Mostazal;$2.405.691;Orilladoras, motosierra, cortasetos y pulverizadora;65 regantes;Reducción en un 70% del tiempo de limpieza mediante mecanización.;2
153400;Comunidad de aguas Canal Encón Calle Larga;Limpieza y mantención de canales internos;Región de Valparaíso;Putaendo;$3.310.990;Chipeadora y herramientas de poda;65 comuneros;Reducir sobrecostos de limpieza y detectar atoros rápidamente.;2
152346;Comunidad de Aguas Canal Quepe Norte;Mejora de mantención canal Quepe Norte;Región de La Araucanía;Vilcún;$6.000.000;Motocicleta y herramientas de limpieza;64 usuarios;Optimizar eficiencia en supervisión y reducir tiempos de respuesta.;2
153728;Asociación Indígena Suma Yapu;Mejoramiento sede Asociación Suma Yapu;Región de Tarapacá;Pica;$2.136.360;Notebook, proyector y 60 sillas plegables;60 socios;Acortar brechas tecnológicas para transparencia en trámites.;2
153547;Asociación de canalistas del Canal Cayucupil;Container Oficina;Región del Biobío;Cañete;$5.355.000;Container oficina con servicios higiénicos;56 usuarios;Establecer punto de encuentro físico para pagos y consultas.;2
152334;Aguas Subterráneas Sector 4 Mal Paso;Monitoreo de calidad de aguas subterráneas;Región de Atacama;Copiapó;$5.924.177;Equipo multiparámetro portátil (pH, conductividad, etc.);45 usuarios;Identificar zonas con alta salinidad para toma de decisiones prediales.;2
152827;Asociación de Canalistas Canal Nancagua;Equipamiento Canal Nancagua;Región del Libertador General Bernardo O'Higgins;Nancagua;$3.154.065;Motocicleta y Cámara PT 4G;42 regantes;Respuesta inmediata ante emergencias y vigilancia de compuertas.;2
153745;Asociación Indígena Aymara Flor del Desierto;Equipamiento tecnológico y mobiliario;Región de Tarapacá;Pozo Almonte;$3.832.840;Equipos de oficina y sistema de sonido;40 socios;Fortalecer registro de turnos de agua evitando errores manuales.;2
153592;Comunidad de Aguas Canal San Antonio;Limpiando mi Canal San Antonio;Región de Valparaíso;Panquehue;$5.989.720;Herramientas de limpieza, motocultivador y generador;35 usuarios;Fortalecer autonomía para gestionar infraestructura.;2
152856;Comunidad de Aguas Canal Santa Emilia;Cuatrimotor para supervisión;Región Metropolitana;María Pinto;$5.790.000;Moto ATV (cuatrimotor) CFMOTO;34 usuarios;Supervisión rápida para detectar embancamientos y prevenir inundaciones.;2
152984;Asociación de Canalistas Canal San Miguel;Equipos para mantención de túneles y canales;Región de La Araucanía;Renaico;$3.538.283;2 generadores portátiles Honda y conexión paralela;30 regantes;Realizar reparaciones al interior de 4 km de túneles.;2
152473;Comunidad de Aguas del Canal Perquenco;Adquisición de Molinete o flujometros;Región de La Araucanía;Perquenco;$5.957.455;Flujómetro Teledyne Valeport;29 usuarios;Disminuir incertidumbre en distribución mediante aforos.;2
153662;Comunidad De Aguas Canal Olave;Mejoramiento de gestión Canal Olave;Región de Ñuble;Ñiquén;$4.599.000;Motocicleta Suzuki V-strom;27 regantes;Reducir pérdidas por filtración mediante supervisión rápida.;2
145019;CA Canal La Victoria;Eficiencia en la limpia y mantención del canal;Región de Ñuble;Chillán;$4.637.980;Trompo volteo y herramientas de corte;24 usuarios;Reducir ciclos de mantenimiento minimizando pérdidas por infiltración.;2
153716;Comunidad de Aguas Canal Caro;Un dron para mejoramiento de gestión;Región de Ñuble;Ñiquén;$5.091.778;Dron DJI Matrice 4E;23 personas;Cobertura de zonas de difícil acceso y registro técnico.;2
153505;Comunidad de Aguas Canal Bucalemu;Adquisición de moto para gestión hídrica;Región de Ñuble;Ñiquén;$4.599.000;Motocicleta Suzuki V-strom;22 usuarios;Recorrer el canal para detección de filtraciones y fiscalización.;2
151784;Asociación de Canalistas Canal Quepe Sur;Adquisición de motocicleta y herramientas;Región de La Araucanía;Vilcún;$6.000.000;Motocicleta Honda XR 190 y herramientas de limpieza;20 usuarios;Fortalecer capacidad operativa en tramos de difícil acceso.;2
150475;Comunidad de Aguas Canal el Peral;Adquisición de Activos (Sede);Región de Coquimbo;Combarbalá;$6.000.000;Contenedor marítimo y equipo de oficina;15 comuneros;Digitalización de documentos y mejora en calidad de atención.;2
153481;JV de la Tercera Sección del Río Aconcagua;Mejoramiento de dependencias;Región de Valparaíso;Quillota;$1.579.980;2 Sistemas de Aire Acondicionado Split;12 directivos;Terminar con temperaturas extremas en área de trabajo.;2
